Areaname,commaloc,Admin2,StateAbrev,State
"Madison, NE",8,Madison,NE,Nebraska
"McPherson, NE",10,McPherson,NE,Nebraska
"Merrick, NE",8,Merrick,NE,Nebraska
"Morrill, NE",8,Morrill,NE,Nebraska
"Nance, NE",6,Nance,NE,Nebraska
"Nemaha, NE",7,Nemaha,NE,Nebraska
"Nuckolls, NE",9,Nuckolls,NE,Nebraska
"Otoe, NE",5,Otoe,NE,Nebraska
"Pawnee, NE",7,Pawnee,NE,Nebraska
"Perkins, NE",8,Perkins,NE,Nebraska
"Phelps, NE",7,Phelps,NE,Nebraska
"Pierce, NE",7,Pierce,NE,Nebraska
"Platte, NE",7,Platte,NE,Nebraska
"Polk, NE",5,Polk,NE,Nebraska
"Red Willow, NE",11,Red Willow,NE,Nebraska
"Richardson, NE",11,Richardson,NE,Nebraska
"Rock, NE",5,Rock,NE,Nebraska
"Saline, NE",7,Saline,NE,Nebraska
"Sarpy, NE",6,Sarpy,NE,Nebraska
"Saunders, NE",9,Saunders,NE,Nebraska
"Scotts Bluff, NE",13,Scotts Bluff,NE,Nebraska
"Seward, NE",7,Seward,NE,Nebraska
"Sheridan, NE",9,Sheridan,NE,Nebraska
"Sherman, NE",8,Sherman,NE,Nebraska
"Sioux, NE",6,Sioux,NE,Nebraska
"Stanton, NE",8,Stanton,NE,Nebraska
"Thayer, NE",7,Thayer,NE,Nebraska
"Thomas, NE",7,Thomas,NE,Nebraska
"Thurston, NE",9,Thurston,NE,Nebraska
"Valley, NE",7,Valley,NE,Nebraska
"Washington, NE",11,Washington,NE,Nebraska
"Wayne, NE",6,Wayne,NE,Nebraska
"Webster, NE",8,Webster,NE,Nebraska
"Wheeler, NE",8,Wheeler,NE,Nebraska
"York, NE",5,York,NE,Nebraska
"Carson City city, NV",17,Carson City city,NV,Nevada
"Churchill, NV",10,Churchill,NV,Nevada
"Clark, NV",6,Clark,NV,Nevada
"Douglas, NV",8,Douglas,NV,Nevada
"Elko, NV",5,Elko,NV,Nevada
"Esmeralda, NV",10,Esmeralda,NV,Nevada
"Eureka, NV",7,Eureka,NV,Nevada
"Humboldt, NV",9,Humboldt,NV,Nevada
"Lander, NV",7,Lander,NV,Nevada
"Lincoln, NV",8,Lincoln,NV,Nevada
"Lyon, NV",5,Lyon,NV,Nevada
"Mineral, NV",8,Mineral,NV,Nevada
"Nye, NV",4,Nye,NV,Nevada
"Pershing, NV",9,Pershing,NV,Nevada
"Storey, NV",7,Storey,NV,Nevada
"Washoe, NV",7,Washoe,NV,Nevada
"White Pine, NV",11,White Pine,NV,Nevada
"Belknap, NH",8,Belknap,NH,New Hampshire
"Carroll, NH",8,Carroll,NH,New Hampshire
"Cheshire, NH",9,Cheshire,NH,New Hampshire
"Coos, NH",5,Coos,NH,New Hampshire
"Grafton, NH",8,Grafton,NH,New Hampshire
"Hillsborough, NH",13,Hillsborough,NH,New Hampshire
"Merrimack, NH",10,Merrimack,NH,New Hampshire
"Rockingham, NH",11,Rockingham,NH,New Hampshire
"Strafford, NH",10,Strafford,NH,New Hampshire
"Sullivan, NH",9,Sullivan,NH,New Hampshire
"Atlantic, NJ",9,Atlantic,NJ,New Jersey
"Bergen, NJ",7,Bergen,NJ,New Jersey
"Burlington, NJ",11,Burlington,NJ,New Jersey
"Camden, NJ",7,Camden,NJ,New Jersey
"Cape May, NJ",9,Cape May,NJ,New Jersey
"Cumberland, NJ",11,Cumberland,NJ,New Jersey
"Essex, NJ",6,Essex,NJ,New Jersey
"Gloucester, NJ",11,Gloucester,NJ,New Jersey
"Hudson, NJ",7,Hudson,NJ,New Jersey
"Hunterdon, NJ",10,Hunterdon,NJ,New Jersey
"Mercer, NJ",7,Mercer,NJ,New Jersey
"Middlesex, NJ",10,Middlesex,NJ,New Jersey
"Monmouth, NJ",9,Monmouth,NJ,New Jersey
"Morris, NJ",7,Morris,NJ,New Jersey
"Ocean, NJ",6,Ocean,NJ,New Jersey
"Passaic, NJ",8,Passaic,NJ,New Jersey
"Salem, NJ",6,Salem,NJ,New Jersey
"Somerset, NJ",9,Somerset,NJ,New Jersey
"Sussex, NJ",7,Sussex,NJ,New Jersey
"Union, NJ",6,Union,NJ,New Jersey
"Warren, NJ",7,Warren,NJ,New Jersey
"Bernalillo, NM",11,Bernalillo,NM,New Mexico
"Catron, NM",7,Catron,NM,New Mexico
"Chaves, NM",7,Chaves,NM,New Mexico
"Cibola, NM",7,Cibola,NM,New Mexico
"Colfax, NM",7,Colfax,NM,New Mexico
"Curry, NM",6,Curry,NM,New Mexico
"De Baca, NM",8,De Baca,NM,New Mexico
"Dona Ana, NM",9,Dona Ana,NM,New Mexico
"Eddy, NM",5,Eddy,NM,New Mexico
"Grant, NM",6,Grant,NM,New Mexico
"Guadalupe, NM",10,Guadalupe,NM,New Mexico
"Harding, NM",8,Harding,NM,New Mexico
"Hidalgo, NM",8,Hidalgo,NM,New Mexico
"Lea, NM",4,Lea,NM,New Mexico
"Lincoln, NM",8,Lincoln,NM,New Mexico
"Los Alamos, NM",11,Los Alamos,NM,New Mexico
"Luna, NM",5,Luna,NM,New Mexico
"McKinley, NM",9,McKinley,NM,New Mexico
"Mora, NM",5,Mora,NM,New Mexico
"Otero, NM",6,Otero,NM,New Mexico
"Quay, NM",5,Quay,NM,New Mexico
"Rio Arriba, NM",11,Rio Arriba,NM,New Mexico
"Roosevelt, NM",10,Roosevelt,NM,New Mexico
"San Juan, NM",9,San Juan,NM,New Mexico
"San Miguel, NM",11,San Miguel,NM,New Mexico
"Sandoval, NM",9,Sandoval,NM,New Mexico
"Santa Fe, NM",9,Santa Fe,NM,New Mexico
"Sierra, NM",7,Sierra,NM,New Mexico
"Socorro, NM",8,Socorro,NM,New Mexico
"Taos, NM",5,Taos,NM,New Mexico
"Torrance, NM",9,Torrance,NM,New Mexico
"Union, NM",6,Union,NM,New Mexico
"Valencia, NM",9,Valencia,NM,New Mexico
"Albany, NY",7,Albany,NY,New York
"Allegany, NY",9,Allegany,NY,New York
"Bronx, NY",6,Bronx,NY,New York
"Broome, NY",7,Broome,NY,New York
"Cattaraugus, NY",12,Cattaraugus,NY,New York
"Cayuga, NY",7,Cayuga,NY,New York
"Chautauqua, NY",11,Chautauqua,NY,New York
"Chemung, NY",8,Chemung,NY,New York
"Chenango, NY",9,Chenango,NY,New York
"Clinton, NY",8,Clinton,NY,New York
"Columbia, NY",9,Columbia,NY,New York
"Cortland, NY",9,Cortland,NY,New York
"Delaware, NY",9,Delaware,NY,New York
"Dutchess, NY",9,Dutchess,NY,New York
"Erie, NY",5,Erie,NY,New York
"Essex, NY",6,Essex,NY,New York
"Franklin, NY",9,Franklin,NY,New York
"Fulton, NY",7,Fulton,NY,New York
"Genesee, NY",8,Genesee,NY,New York
"Greene, NY",7,Greene,NY,New York
"Hamilton, NY",9,Hamilton,NY,New York
"Herkimer, NY",9,Herkimer,NY,New York
"Jefferson, NY",10,Jefferson,NY,New York
"Kings, NY",6,Kings,NY,New York
"Lewis, NY",6,Lewis,NY,New York
"Livingston, NY",11,Livingston,NY,New York
"Madison, NY",8,Madison,NY,New York
"Monroe, NY",7,Monroe,NY,New York
"Montgomery, NY",11,Montgomery,NY,New York
"Nassau, NY",7,Nassau,NY,New York
"New York, NY",9,New York,NY,New York
"Niagara, NY",8,Niagara,NY,New York
"Oneida, NY",7,Oneida,NY,New York
"Onondaga, NY",9,Onondaga,NY,New York
"Ontario, NY",8,Ontario,NY,New York
"Orange, NY",7,Orange,NY,New York
"Orleans, NY",8,Orleans,NY,New York
"Oswego, NY",7,Oswego,NY,New York
"Otsego, NY",7,Otsego,NY,New York
"Putnam, NY",7,Putnam,NY,New York
"Queens, NY",7,Queens,NY,New York
"Rensselaer, NY",11,Rensselaer,NY,New York
"Richmond, NY",9,Richmond,NY,New York
"Rockland, NY",9,Rockland,NY,New York
"Saratoga, NY",9,Saratoga,NY,New York
"Schenectady, NY",12,Schenectady,NY,New York
"Schoharie, NY",10,Schoharie,NY,New York
"Schuyler, NY",9,Schuyler,NY,New York
"Seneca, NY",7,Seneca,NY,New York
"St. Lawrence, NY",13,St. Lawrence,NY,New York
"Steuben, NY",8,Steuben,NY,New York
"Suffolk, NY",8,Suffolk,NY,New York
"Sullivan, NY",9,Sullivan,NY,New York
"Tioga, NY",6,Tioga,NY,New York
"Tompkins, NY",9,Tompkins,NY,New York
"Ulster, NY",7,Ulster,NY,New York
"Warren, NY",7,Warren,NY,New York
"Washington, NY",11,Washington,NY,New York
"Wayne, NY",6,Wayne,NY,New York
"Westchester, NY",12,Westchester,NY,New York
"Wyoming, NY",8,Wyoming,NY,New York
"Yates, NY",6,Yates,NY,New York
"Alamance, NC",9,Alamance,NC,North Carolina
"Alexander, NC",10,Alexander,NC,North Carolina
"Alleghany, NC",10,Alleghany,NC,North Carolina
"Anson, NC",6,Anson,NC,North Carolina
"Ashe, NC",5,Ashe,NC,North Carolina
"Avery, NC",6,Avery,NC,North Carolina
"Beaufort, NC",9,Beaufort,NC,North Carolina
"Bertie, NC",7,Bertie,NC,North Carolina
"Bladen, NC",7,Bladen,NC,North Carolina
"Brunswick, NC",10,Brunswick,NC,North Carolina
"Buncombe, NC",9,Buncombe,NC,North Carolina
"Burke, NC",6,Burke,NC,North Carolina
"Cabarrus, NC",9,Cabarrus,NC,North Carolina
"Caldwell, NC",9,Caldwell,NC,North Carolina
"Camden, NC",7,Camden,NC,North Carolina
"Carteret, NC",9,Carteret,NC,North Carolina
"Caswell, NC",8,Caswell,NC,North Carolina
"Catawba, NC",8,Catawba,NC,North Carolina
"Chatham, NC",8,Chatham,NC,North Carolina
"Cherokee, NC",9,Cherokee,NC,North Carolina
"Chowan, NC",7,Chowan,NC,North Carolina
"Clay, NC",5,Clay,NC,North Carolina
"Cleveland, NC",10,Cleveland,NC,North Carolina
"Columbus, NC",9,Columbus,NC,North Carolina
"Craven, NC",7,Craven,NC,North Carolina
"Cumberland, NC",11,Cumberland,NC,North Carolina
"Currituck, NC",10,Currituck,NC,North Carolina
"Dare, NC",5,Dare,NC,North Carolina
"Davidson, NC",9,Davidson,NC,North Carolina
"Davie, NC",6,Davie,NC,North Carolina
"Duplin, NC",7,Duplin,NC,North Carolina
"Durham, NC",7,Durham,NC,North Carolina
"Edgecombe, NC",10,Edgecombe,NC,North Carolina
"Forsyth, NC",8,Forsyth,NC,North Carolina
"Franklin, NC",9,Franklin,NC,North Carolina
"Gaston, NC",7,Gaston,NC,North Carolina
"Gates, NC",6,Gates,NC,North Carolina
"Graham, NC",7,Graham,NC,North Carolina
"Granville, NC",10,Granville,NC,North Carolina
"Greene, NC",7,Greene,NC,North Carolina
"Guilford, NC",9,Guilford,NC,North Carolina
"Halifax, NC",8,Halifax,NC,North Carolina
"Harnett, NC",8,Harnett,NC,North Carolina
"Haywood, NC",8,Haywood,NC,North Carolina
"Henderson, NC",10,Henderson,NC,North Carolina
"Hertford, NC",9,Hertford,NC,North Carolina
"Hoke, NC",5,Hoke,NC,North Carolina
"Hyde, NC",5,Hyde,NC,North Carolina
"Iredell, NC",8,Iredell,NC,North Carolina
"Jackson, NC",8,Jackson,NC,North Carolina
"Johnston, NC",9,Johnston,NC,North Carolina
"Jones, NC",6,Jones,NC,North Carolina
"Lee, NC",4,Lee,NC,North Carolina
"Lenoir, NC",7,Lenoir,NC,North Carolina
"Lincoln, NC",8,Lincoln,NC,North Carolina
"Macon, NC",6,Macon,NC,North Carolina
"Madison, NC",8,Madison,NC,North Carolina
"Martin, NC",7,Martin,NC,North Carolina
"McDowell, NC",9,McDowell,NC,North Carolina
"Mecklenburg, NC",12,Mecklenburg,NC,North Carolina
"Mitchell, NC",9,Mitchell,NC,North Carolina
"Montgomery, NC",11,Montgomery,NC,North Carolina
"Moore, NC",6,Moore,NC,North Carolina
"Nash, NC",5,Nash,NC,North Carolina
"New Hanover, NC",12,New Hanover,NC,North Carolina
"Northampton, NC",12,Northampton,NC,North Carolina
"Onslow, NC",7,Onslow,NC,North Carolina
"Orange, NC",7,Orange,NC,North Carolina
"Pamlico, NC",8,Pamlico,NC,North Carolina
"Pasquotank, NC",11,Pasquotank,NC,North Carolina
"Pender, NC",7,Pender,NC,North Carolina
"Perquimans, NC",11,Perquimans,NC,North Carolina
"Person, NC",7,Person,NC,North Carolina
"Pitt, NC",5,Pitt,NC,North Carolina
"Polk, NC",5,Polk,NC,North Carolina
"Randolph, NC",9,Randolph,NC,North Carolina
"Richmond, NC",9,Richmond,NC,North Carolina
"Robeson, NC",8,Robeson,NC,North Carolina
"Rockingham, NC",11,Rockingham,NC,North Carolina
"Rowan, NC",6,Rowan,NC,North Carolina
"Rutherford, NC",11,Rutherford,NC,North Carolina
"Sampson, NC",8,Sampson,NC,North Carolina
"Scotland, NC",9,Scotland,NC,North Carolina
"Stanly, NC",7,Stanly,NC,North Carolina
"Stokes, NC",7,Stokes,NC,North Carolina
"Surry, NC",6,Surry,NC,North Carolina
"Swain, NC",6,Swain,NC,North Carolina
"Transylvania, NC",13,Transylvania,NC,North Carolina
"Tyrrell, NC",8,Tyrrell,NC,North Carolina
"Union, NC",6,Union,NC,North Carolina
"Vance, NC",6,Vance,NC,North Carolina
"Wake, NC",5,Wake,NC,North Carolina
"Warren, NC",7,Warren,NC,North Carolina
"Washington, NC",11,Washington,NC,North Carolina
"Watauga, NC",8,Watauga,NC,North Carolina
"Wayne, NC",6,Wayne,NC,North Carolina
"Wilkes, NC",7,Wilkes,NC,North Carolina
"Wilson, NC",7,Wilson,NC,North Carolina
"Yadkin, NC",7,Yadkin,NC,North Carolina
"Yancey, NC",7,Yancey,NC,North Carolina
"Adams, ND",6,Adams,ND,North Dakota
"Barnes, ND",7,Barnes,ND,North Dakota
"Benson, ND",7,Benson,ND,North Dakota
"Billings, ND",9,Billings,ND,North Dakota
"Bottineau, ND",10,Bottineau,ND,North Dakota
"Bowman, ND",7,Bowman,ND,North Dakota
"Burke, ND",6,Burke,ND,North Dakota
"Burleigh, ND",9,Burleigh,ND,North Dakota
"Cass, ND",5,Cass,ND,North Dakota
"Cavalier, ND",9,Cavalier,ND,North Dakota
"Dickey, ND",7,Dickey,ND,North Dakota
"Divide, ND",7,Divide,ND,North Dakota
"Dunn, ND",5,Dunn,ND,North Dakota
"Eddy, ND",5,Eddy,ND,North Dakota
"Emmons, ND",7,Emmons,ND,North Dakota
"Foster, ND",7,Foster,ND,North Dakota
"Golden Valley, ND",14,Golden Valley,ND,North Dakota
"Grand Forks, ND",12,Grand Forks,ND,North Dakota
"Grant, ND",6,Grant,ND,North Dakota
"Griggs, ND",7,Griggs,ND,North Dakota
"Hettinger, ND",10,Hettinger,ND,North Dakota
"Kidder, ND",7,Kidder,ND,North Dakota
"LaMoure, ND",8,LaMoure,ND,North Dakota
"Logan, ND",6,Logan,ND,North Dakota
"McHenry, ND",8,McHenry,ND,North Dakota
"McIntosh, ND",9,McIntosh,ND,North Dakota
"McKenzie, ND",9,McKenzie,ND,North Dakota
"McLean, ND",7,McLean,ND,North Dakota
"Mercer, ND",7,Mercer,ND,North Dakota
"Morton, ND",7,Morton,ND,North Dakota
"Mountrail, ND",10,Mountrail,ND,North Dakota
"Nelson, ND",7,Nelson,ND,North Dakota
"Oliver, ND",7,Oliver,ND,North Dakota
"Pembina, ND",8,Pembina,ND,North Dakota
"Pierce, ND",7,Pierce,ND,North Dakota
"Ramsey, ND",7,Ramsey,ND,North Dakota
"Ransom, ND",7,Ransom,ND,North Dakota
"Renville, ND",9,Renville,ND,North Dakota
"Richland, ND",9,Richland,ND,North Dakota
"Rolette, ND",8,Rolette,ND,North Dakota
"Sargent, ND",8,Sargent,ND,North Dakota
"Sheridan, ND",9,Sheridan,ND,North Dakota
"Sioux, ND",6,Sioux,ND,North Dakota
"Slope, ND",6,Slope,ND,North Dakota
"Stark, ND",6,Stark,ND,North Dakota
"Steele, ND",7,Steele,ND,North Dakota
"Stutsman, ND",9,Stutsman,ND,North Dakota
"Towner, ND",7,Towner,ND,North Dakota
"Traill, ND",7,Traill,ND,North Dakota
"Walsh, ND",6,Walsh,ND,North Dakota
"Ward, ND",5,Ward,ND,North Dakota
"Wells, ND",6,Wells,ND,North Dakota
"Williams, ND",9,Williams,ND,North Dakota
"Adams, OH",6,Adams,OH,Ohio
"Allen, OH",6,Allen,OH,Ohio
"Ashland, OH",8,Ashland,OH,Ohio
"Ashtabula, OH",10,Ashtabula,OH,Ohio
"Athens, OH",7,Athens,OH,Ohio
"Auglaize, OH",9,Auglaize,OH,Ohio
"Belmont, OH",8,Belmont,OH,Ohio
"Brown, OH",6,Brown,OH,Ohio
"Butler, OH",7,Butler,OH,Ohio
"Carroll, OH",8,Carroll,OH,Ohio
"Champaign, OH",10,Champaign,OH,Ohio
"Clark, OH",6,Clark,OH,Ohio
"Clermont, OH",9,Clermont,OH,Ohio
"Clinton, OH",8,Clinton,OH,Ohio
"Columbiana, OH",11,Columbiana,OH,Ohio
"Coshocton, OH",10,Coshocton,OH,Ohio
"Crawford, OH",9,Crawford,OH,Ohio
"Cuyahoga, OH",9,Cuyahoga,OH,Ohio
"Darke, OH",6,Darke,OH,Ohio
"Defiance, OH",9,Defiance,OH,Ohio
"Delaware, OH",9,Delaware,OH,Ohio
"Erie, OH",5,Erie,OH,Ohio
"Fairfield, OH",10,Fairfield,OH,Ohio
"Fayette, OH",8,Fayette,OH,Ohio
"Franklin, OH",9,Franklin,OH,Ohio
"Fulton, OH",7,Fulton,OH,Ohio
"Gallia, OH",7,Gallia,OH,Ohio
"Geauga, OH",7,Geauga,OH,Ohio
"Greene, OH",7,Greene,OH,Ohio
"Guernsey, OH",9,Guernsey,OH,Ohio
"Hamilton, OH",9,Hamilton,OH,Ohio
"Hancock, OH",8,Hancock,OH,Ohio
"Hardin, OH",7,Hardin,OH,Ohio
"Harrison, OH",9,Harrison,OH,Ohio
"Henry, OH",6,Henry,OH,Ohio
"Highland, OH",9,Highland,OH,Ohio
"Hocking, OH",8,Hocking,OH,Ohio
"Holmes, OH",7,Holmes,OH,Ohio
"Huron, OH",6,Huron,OH,Ohio
"Jackson, OH",8,Jackson,OH,Ohio
"Jefferson, OH",10,Jefferson,OH,Ohio
"Knox, OH",5,Knox,OH,Ohio
"Lake, OH",5,Lake,OH,Ohio
"Lawrence, OH",9,Lawrence,OH,Ohio
"Licking, OH",8,Licking,OH,Ohio
"Logan, OH",6,Logan,OH,Ohio
"Lorain, OH",7,Lorain,OH,Ohio
"Lucas, OH",6,Lucas,OH,Ohio
"Madison, OH",8,Madison,OH,Ohio
"Mahoning, OH",9,Mahoning,OH,Ohio
"Marion, OH",7,Marion,OH,Ohio
"Medina, OH",7,Medina,OH,Ohio
"Meigs, OH",6,Meigs,OH,Ohio
"Mercer, OH",7,Mercer,OH,Ohio
"Miami, OH",6,Miami,OH,Ohio
"Monroe, OH",7,Monroe,OH,Ohio
"Montgomery, OH",11,Montgomery,OH,Ohio
"Morgan, OH",7,Morgan,OH,Ohio
"Morrow, OH",7,Morrow,OH,Ohio
"Muskingum, OH",10,Muskingum,OH,Ohio
"Noble, OH",6,Noble,OH,Ohio
"Ottawa, OH",7,Ottawa,OH,Ohio
"Paulding, OH",9,Paulding,OH,Ohio
"Perry, OH",6,Perry,OH,Ohio
"Pickaway, OH",9,Pickaway,OH,Ohio
"Pike, OH",5,Pike,OH,Ohio
"Portage, OH",8,Portage,OH,Ohio
"Preble, OH",7,Preble,OH,Ohio
"Putnam, OH",7,Putnam,OH,Ohio
"Richland, OH",9,Richland,OH,Ohio
"Ross, OH",5,Ross,OH,Ohio
"Sandusky, OH",9,Sandusky,OH,Ohio
"Scioto, OH",7,Scioto,OH,Ohio
"Seneca, OH",7,Seneca,OH,Ohio
"Shelby, OH",7,Shelby,OH,Ohio
"Stark, OH",6,Stark,OH,Ohio
"Summit, OH",7,Summit,OH,Ohio
"Trumbull, OH",9,Trumbull,OH,Ohio
"Tuscarawas, OH",11,Tuscarawas,OH,Ohio
"Union, OH",6,Union,OH,Ohio
"Van Wert, OH",9,Van Wert,OH,Ohio
"Vinton, OH",7,Vinton,OH,Ohio
"Warren, OH",7,Warren,OH,Ohio
"Washington, OH",11,Washington,OH,Ohio
"Wayne, OH",6,Wayne,OH,Ohio
"Williams, OH",9,Williams,OH,Ohio
"Wood, OH",5,Wood,OH,Ohio
"Wyandot, OH",8,Wyandot,OH,Ohio
"Adair, OK",6,Adair,OK,Oklahoma
"Alfalfa, OK",8,Alfalfa,OK,Oklahoma
"Atoka, OK",6,Atoka,OK,Oklahoma
"Beaver, OK",7,Beaver,OK,Oklahoma
"Beckham, OK",8,Beckham,OK,Oklahoma
"Blaine, OK",7,Blaine,OK,Oklahoma
"Bryan, OK",6,Bryan,OK,Oklahoma
"Caddo, OK",6,Caddo,OK,Oklahoma
"Canadian, OK",9,Canadian,OK,Oklahoma
"Carter, OK",7,Carter,OK,Oklahoma
"Cherokee, OK",9,Cherokee,OK,Oklahoma
"Choctaw, OK",8,Choctaw,OK,Oklahoma
"Cimarron, OK",9,Cimarron,OK,Oklahoma
"Cleveland, OK",10,Cleveland,OK,Oklahoma
"Coal, OK",5,Coal,OK,Oklahoma
"Comanche, OK",9,Comanche,OK,Oklahoma
"Cotton, OK",7,Cotton,OK,Oklahoma
"Craig, OK",6,Craig,OK,Oklahoma
"Creek, OK",6,Creek,OK,Oklahoma
"Custer, OK",7,Custer,OK,Oklahoma
"Delaware, OK",9,Delaware,OK,Oklahoma
"Dewey, OK",6,Dewey,OK,Oklahoma
"Ellis, OK",6,Ellis,OK,Oklahoma
"Garfield, OK",9,Garfield,OK,Oklahoma
"Garvin, OK",7,Garvin,OK,Oklahoma
"Grady, OK",6,Grady,OK,Oklahoma
"Grant, OK",6,Grant,OK,Oklahoma
"Greer, OK",6,Greer,OK,Oklahoma
"Harmon, OK",7,Harmon,OK,Oklahoma
"Harper, OK",7,Harper,OK,Oklahoma
"Haskell, OK",8,Haskell,OK,Oklahoma
"Hughes, OK",7,Hughes,OK,Oklahoma
"Jackson, OK",8,Jackson,OK,Oklahoma
"Jefferson, OK",10,Jefferson,OK,Oklahoma
"Johnston, OK",9,Johnston,OK,Oklahoma
"Kay, OK",4,Kay,OK,Oklahoma
"Kingfisher, OK",11,Kingfisher,OK,Oklahoma
"Kiowa, OK",6,Kiowa,OK,Oklahoma
"Latimer, OK",8,Latimer,OK,Oklahoma
"Le Flore, OK",9,Le Flore,OK,Oklahoma
"Lincoln, OK",8,Lincoln,OK,Oklahoma
"Logan, OK",6,Logan,OK,Oklahoma
"Love, OK",5,Love,OK,Oklahoma
"Major, OK",6,Major,OK,Oklahoma
"Marshall, OK",9,Marshall,OK,Oklahoma
"Mayes, OK",6,Mayes,OK,Oklahoma
"McClain, OK",8,McClain,OK,Oklahoma
"McCurtain, OK",10,McCurtain,OK,Oklahoma
"McIntosh, OK",9,McIntosh,OK,Oklahoma
"Murray, OK",7,Murray,OK,Oklahoma
"Muskogee, OK",9,Muskogee,OK,Oklahoma
"Noble, OK",6,Noble,OK,Oklahoma
"Nowata, OK",7,Nowata,OK,Oklahoma
"Okfuskee, OK",9,Okfuskee,OK,Oklahoma
"Oklahoma, OK",9,Oklahoma,OK,Oklahoma
"Okmulgee, OK",9,Okmulgee,OK,Oklahoma
"Osage, OK",6,Osage,OK,Oklahoma
"Ottawa, OK",7,Ottawa,OK,Oklahoma
"Pawnee, OK",7,Pawnee,OK,Oklahoma
"Payne, OK",6,Payne,OK,Oklahoma
"Pittsburg, OK",10,Pittsburg,OK,Oklahoma
"Pontotoc, OK",9,Pontotoc,OK,Oklahoma
"Pottawatomie, OK",13,Pottawatomie,OK,Oklahoma
"Pushmataha, OK",11,Pushmataha,OK,Oklahoma
"Roger Mills, OK",12,Roger Mills,OK,Oklahoma
"Rogers, OK",7,Rogers,OK,Oklahoma
"Seminole, OK",9,Seminole,OK,Oklahoma
"Sequoyah, OK",9,Sequoyah,OK,Oklahoma
"Stephens, OK",9,Stephens,OK,Oklahoma
"Texas, OK",6,Texas,OK,Oklahoma
"Tillman, OK",8,Tillman,OK,Oklahoma
"Tulsa, OK",6,Tulsa,OK,Oklahoma
"Wagoner, OK",8,Wagoner,OK,Oklahoma
"Washington, OK",11,Washington,OK,Oklahoma
"Washita, OK",8,Washita,OK,Oklahoma
"Woods, OK",6,Woods,OK,Oklahoma
"Woodward, OK",9,Woodward,OK,Oklahoma
"Baker, OR",6,Baker,OR,Oregon
"Benton, OR",7,Benton,OR,Oregon
"Clackamas, OR",10,Clackamas,OR,Oregon
"Clatsop, OR",8,Clatsop,OR,Oregon
"Columbia, OR",9,Columbia,OR,Oregon
"Coos, OR",5,Coos,OR,Oregon
"Crook, OR",6,Crook,OR,Oregon
"Curry, OR",6,Curry,OR,Oregon
"Deschutes, OR",10,Deschutes,OR,Oregon
"Douglas, OR",8,Douglas,OR,Oregon
"Gilliam, OR",8,Gilliam,OR,Oregon
"Grant, OR",6,Grant,OR,Oregon
"Harney, OR",7,Harney,OR,Oregon
"Hood River, OR",11,Hood River,OR,Oregon
"Jackson, OR",8,Jackson,OR,Oregon
"Jefferson, OR",10,Jefferson,OR,Oregon
"Josephine, OR",10,Josephine,OR,Oregon
"Klamath, OR",8,Klamath,OR,Oregon
"Lake, OR",5,Lake,OR,Oregon
"Lane, OR",5,Lane,OR,Oregon
"Lincoln, OR",8,Lincoln,OR,Oregon
"Linn, OR",5,Linn,OR,Oregon
"Malheur, OR",8,Malheur,OR,Oregon
"Marion, OR",7,Marion,OR,Oregon
"Morrow, OR",7,Morrow,OR,Oregon
"Multnomah, OR",10,Multnomah,OR,Oregon
"Polk, OR",5,Polk,OR,Oregon
"Sherman, OR",8,Sherman,OR,Oregon
"Tillamook, OR",10,Tillamook,OR,Oregon
"Umatilla, OR",9,Umatilla,OR,Oregon
"Union, OR",6,Union,OR,Oregon
"Wallowa, OR",8,Wallowa,OR,Oregon
"Wasco, OR",6,Wasco,OR,Oregon
"Washington, OR",11,Washington,OR,Oregon
"Wheeler, OR",8,Wheeler,OR,Oregon
"Yamhill, OR",8,Yamhill,OR,Oregon
"Adams, PA",6,Adams,PA,Pennsylvania
"Allegheny, PA",10,Allegheny,PA,Pennsylvania
"Armstrong, PA",10,Armstrong,PA,Pennsylvania
"Beaver, PA",7,Beaver,PA,Pennsylvania
"Bedford, PA",8,Bedford,PA,Pennsylvania
"Berks, PA",6,Berks,PA,Pennsylvania
"Blair, PA",6,Blair,PA,Pennsylvania
"Bradford, PA",9,Bradford,PA,Pennsylvania
"Bucks, PA",6,Bucks,PA,Pennsylvania
"Butler, PA",7,Butler,PA,Pennsylvania
"Cambria, PA",8,Cambria,PA,Pennsylvania
"Cameron, PA",8,Cameron,PA,Pennsylvania
"Carbon, PA",7,Carbon,PA,Pennsylvania
"Centre, PA",7,Centre,PA,Pennsylvania
"Chester, PA",8,Chester,PA,Pennsylvania
"Clarion, PA",8,Clarion,PA,Pennsylvania
"Clearfield, PA",11,Clearfield,PA,Pennsylvania
"Clinton, PA",8,Clinton,PA,Pennsylvania
"Columbia, PA",9,Columbia,PA,Pennsylvania
"Crawford, PA",9,Crawford,PA,Pennsylvania
"Cumberland, PA",11,Cumberland,PA,Pennsylvania
"Dauphin, PA",8,Dauphin,PA,Pennsylvania
"Delaware, PA",9,Delaware,PA,Pennsylvania
"Elk, PA",4,Elk,PA,Pennsylvania
"Erie, PA",5,Erie,PA,Pennsylvania
"Fayette, PA",8,Fayette,PA,Pennsylvania
"Forest, PA",7,Forest,PA,Pennsylvania
"Franklin, PA",9,Franklin,PA,Pennsylvania
"Fulton, PA",7,Fulton,PA,Pennsylvania
"Greene, PA",7,Greene,PA,Pennsylvania
"Huntingdon, PA",11,Huntingdon,PA,Pennsylvania
